student_id,sleep_hours,addiction_score
560,8.31,9.79
561,6.49,3.61
562,4.11,18.82
563,8.86,13.39
564,8.83,15.33
565,5.92,4.08
566,8.77,13.47
567,4.71,16.41
568,7.4,7.74
569,4.96,16.32
570,5.23,-0.08
571,7.9,-2.96
572,5.89,13.17
573,4.04,10.93
574,6.07,12.36
575,5.14,17.29
576,7.42,7.41
577,4.97,1.15
578,8.21,14.22
579,5.34,4.22
580,5.97,11.6
581,5.49,11.11
582,7.22,3.28
583,4.51,8.87
584,6.39,11.98
585,5.67,17.81
586,8.42,14.87
587,4.37,8.17
588,8.15,10.1
589,4.84,7.78
590,4.44,4.04
591,5.01,7.76
592,4.51,1.64
593,6.6,3.93
594,8.94,5.04
595,4.17,11.86
596,6.31,4.23
597,5.93,12.46
598,5.7,8.56
599,5.66,4.53
600,8.48,15.85
601,4.09,3.17
602,7.87,19.44
603,5.26,5.98
604,5.92,10.93
605,6.1,1.85
606,5.52,13.49
607,4.47,8.51
608,4.57,12.94
609,5.49,7.17
610,8.11,1.47
611,4.67,16.92
612,7.71,5.46
613,5.44,20.25
614,8.42,0.35
615,6.14,11.0
616,4.86,16.82
617,8.93,5.9
618,4.88,3.56
619,6.84,14.15
620,6.85,17.71
621,5.86,15.08
622,8.76,10.8
623,8.22,9.16
624,8.15,8.93
625,8.87,4.56
626,6.29,12.55
627,4.49,9.68
628,7.83,7.66
629,5.9,3.96
630,4.95,11.55
631,6.42,18.94
632,8.63,12.64
633,4.86,10.16
634,8.24,13.6
635,6.09,10.58
636,4.68,0.91
637,8.24,2.62
638,8.85,1.44
639,5.46,6.35
640,5.52,16.86
641,5.95,7.31
642,8.07,5.46
643,4.05,15.51
644,5.12,12.17
645,7.53,12.6
646,6.03,4.8
647,5.65,7.79
648,8.36,-1.62
649,8.59,0.77
650,8.74,7.04
651,5.36,11.02
652,8.56,3.55
653,7.68,5.09
654,4.77,4.52
655,7.05,8.99
656,4.13,13.66
657,7.54,12.37
658,7.67,9.21
659,7.95,8.34
660,4.86,6.5
661,7.14,-1.2
662,4.89,16.03
663,8.73,16.0
664,7.38,12.7
665,4.48,15.39
666,4.94,14.01
667,7.32,3.51
668,6.38,15.85
669,7.68,3.72
670,5.4,11.59
671,7.29,4.98
672,4.88,10.39
673,6.72,11.67
674,8.79,5.08
675,7.14,6.81
676,4.25,10.16
677,8.94,3.36
678,4.78,16.72
679,7.59,13.33
680,6.66,10.59
681,5.47,7.71
682,4.89,12.95
683,4.89,1.64
684,8.29,6.31
685,8.36,6.63
686,6.33,18.38
687,4.52,2.74
688,8.42,6.23
689,6.44,12.72
690,6.19,9.82
691,6.04,11.68
692,5.83,8.08
693,6.63,4.61
694,7.02,4.13
695,6.33,4.65
696,8.48,16.02
697,5.59,13.18
698,6.89,2.7
699,5.5,4.42
700,7.77,1.04
701,4.51,9.34
702,4.94,10.46
703,8.01,8.55
704,4.92,13.32
705,7.13,10.44
706,8.85,16.06
707,6.61,3.65
708,4.94,5.96
709,5.6,0.73
710,8.12,15.19
711,5.76,14.97
712,7.62,12.33
713,7.89,0.99
714,6.51,4.47
715,7.92,8.24
716,5.58,8.46
717,6.58,6.59
718,7.43,3.0
719,4.84,13.23
720,5.37,7.83
721,7.26,9.32
722,7.28,3.78
723,6.47,12.45
724,7.98,12.9
725,6.41,17.8
726,8.41,12.63
727,7.68,17.72
728,5.57,13.11
729,5.98,9.17
730,7.34,15.3
731,8.47,8.96
732,4.89,11.65
733,6.57,4.93
734,4.59,15.41
735,5.4,13.76
736,7.43,14.7
737,4.39,3.03
738,7.31,10.72
739,8.5,6.22
740,8.85,14.57
741,5.08,4.26
742,7.74,17.26
743,8.63,5.47
744,4.46,6.1
745,6.07,16.02
746,8.6,6.31
747,5.01,-0.41
748,8.67,9.37
749,6.64,-0.34
750,4.5,19.09
751,6.25,11.46
752,5.63,8.73
753,5.41,12.69
754,6.71,2.92
755,6.42,14.34
756,6.41,18.41
757,4.44,16.96
758,8.01,2.02
759,6.41,6.35
760,8.1,2.69
761,8.12,13.83
762,5.59,8.36
763,4.02,5.32
764,8.56,18.53
765,7.8,3.04
766,4.54,0.71
767,7.51,3.21
768,4.1,4.86
769,4.14,1.09
770,6.63,10.11
771,4.48,5.36
772,8.82,7.87
773,8.47,14.22
774,7.25,9.97
775,4.32,9.13
776,5.62,7.74
777,5.86,9.75
778,6.4,15.06
779,4.84,1.82
780,6.89,8.08
781,6.18,13.55
782,8.74,15.35
783,8.68,6.09
784,6.83,9.91
785,7.22,14.52
786,4.69,19.52
787,5.12,1.08
788,8.5,6.05
789,7.5,6.17
790,4.95,9.84
791,6.85,7.73
792,8.67,3.14
793,5.73,8.1
794,4.93,7.03
795,8.71,13.29
796,6.31,5.05
797,6.09,8.49
798,5.34,6.12
799,8.46,15.83
800,8.23,15.11
801,6.01,15.36
802,4.15,4.2
803,6.23,13.43
804,4.9,9.48
805,4.71,3.66
806,5.97,12.15
807,4.5,16.82
808,8.79,16.4
809,4.24,16.02
810,6.01,12.98
811,4.81,4.74
812,7.44,9.64
813,4.39,-0.3
814,6.73,18.73
815,7.87,1.63
816,8.75,14.0
817,7.49,7.38
818,4.5,9.57
819,4.44,-0.32
820,7.66,6.46
821,5.08,17.12
822,6.24,-0.65
823,8.88,9.73
824,8.1,2.05
825,8.23,6.03
826,8.3,3.64
827,7.1,3.45
828,7.72,15.26
829,5.79,11.51
830,8.99,4.82
831,5.4,13.62
832,6.95,2.74
833,5.41,3.8
834,4.56,12.54
835,6.84,7.79
836,5.77,9.64
837,6.92,11.11
838,6.79,16.28
839,6.71,18.13
840,4.62,2.74
841,6.2,10.77
842,8.06,6.74
843,5.58,3.96
844,6.22,19.11
845,6.47,16.98
846,8.31,5.57
847,7.28,9.71
848,4.5,5.02
849,8.33,12.99
850,8.16,12.39
851,7.77,13.8
852,6.33,4.98
853,7.79,14.27
854,6.39,6.25
855,7.68,6.96
856,8.4,6.02
857,8.45,6.56
858,6.27,12.09
859,8.3,16.3
860,4.51,0.51
861,4.51,17.64
862,6.74,9.3
863,7.26,11.76
864,4.76,16.08
865,6.36,9.64
866,4.47,15.23
867,7.01,6.56
868,8.28,3.53
869,7.69,8.78
870,5.89,15.36
871,8.97,14.05
872,7.31,13.61
873,8.08,13.3
874,7.35,5.67
875,8.95,17.21
876,8.11,7.47
877,6.6,12.93
878,5.83,10.66
879,7.41,8.31
880,6.95,11.25
881,7.15,21.15
882,5.72,12.17
883,6.14,15.49
884,6.79,1.49
885,8.2,8.8
886,7.81,11.61
887,4.59,12.45
888,5.23,15.21
889,4.13,1.41
890,4.04,1.42
891,5.12,8.91
892,8.0,4.82
893,8.52,16.92
894,5.96,3.35
895,6.82,9.86
896,7.53,2.08
897,8.76,10.44
898,8.56,8.55
899,4.29,-1.05
900,5.24,6.57
901,4.25,7.53
902,7.08,19.74
903,7.55,8.36
904,5.54,10.71
905,8.27,19.89
906,6.26,14.42
907,8.99,18.81
908,4.0,14.4
909,4.55,11.65
910,5.51,13.18
911,4.13,2.44
912,7.91,6.99
913,4.26,9.29
914,7.74,13.78
915,4.26,12.69
916,5.26,11.92
917,8.21,2.51
918,8.76,14.39
919,6.07,9.54
920,8.85,5.43
921,7.13,16.28
922,6.08,5.96
923,8.01,12.96
924,5.48,9.65
925,5.33,8.83
926,7.28,14.85
927,5.95,14.76
928,4.68,8.5
929,4.33,2.47
930,7.94,12.18
931,7.38,2.02
932,6.06,14.95
933,8.48,8.28
934,6.05,12.59
935,7.55,19.75
936,8.55,4.43
937,8.2,12.51
938,6.56,13.3
939,7.4,10.55
940,6.07,13.1
941,7.24,14.21
942,5.29,13.53
943,6.17,12.26
944,5.05,16.59
945,4.19,10.43
946,6.94,17.78
947,8.32,10.66
948,4.13,2.79
949,4.98,7.0
950,6.3,0.74
951,7.33,5.0
952,4.86,1.88
953,4.28,6.3
954,6.6,15.94
955,8.09,-2.77
956,4.18,9.26
957,5.75,2.42
958,7.32,3.77
959,4.65,3.29
960,5.18,9.17
961,6.68,15.26
962,8.77,14.2
963,5.44,17.92
964,6.44,5.48
965,6.0,7.12
966,8.49,2.85
967,4.36,12.01
968,6.83,-1.13
969,8.23,11.27
970,8.94,10.56
971,7.49,9.06
972,5.9,18.63
973,6.06,15.87
974,5.76,16.71
975,7.02,12.69
976,7.7,19.11
977,8.1,11.75
978,6.08,15.41
979,7.58,4.48
980,8.58,10.78
981,8.6,14.79
982,7.52,6.96
983,7.18,14.83
984,6.66,16.54
985,4.92,6.3
986,4.62,6.79
987,6.43,10.62
988,4.8,15.87
989,6.88,13.28
990,7.23,0.27
991,6.63,8.97
992,4.18,1.49
993,4.29,17.2
994,4.57,8.82
995,4.77,8.55
996,8.95,18.72
997,5.72,-1.64
998,5.46,3.17
999,4.26,7.36
1000,7.18,4.7
1001,7.26,8.16
1002,4.88,16.29
1003,8.6,12.77
1004,8.0,16.83
1005,5.15,17.32
1006,6.43,7.92
1007,6.29,9.94
1008,5.74,3.07
1009,8.09,18.96
1010,4.55,11.61
1011,6.08,3.39
1012,6.14,6.41
1013,6.34,5.77
1014,8.31,9.95
1015,5.09,17.68
1016,4.51,8.25
1017,7.09,15.71
1018,4.87,9.8
1019,4.37,16.15
1020,6.13,15.95
1021,5.1,18.68
1022,5.81,3.5
1023,5.3,2.64
1024,4.46,9.73
1025,6.8,8.85
1026,4.14,9.18
1027,8.83,15.66
1028,5.71,3.38
1029,7.48,6.84
1030,8.05,8.15
1031,5.4,14.38
1032,7.74,15.48
1033,8.16,10.56
1034,5.21,6.06
1035,8.96,13.36
1036,4.1,9.62
1037,5.09,9.14
1038,7.9,14.75
1039,4.97,17.5
1040,7.49,13.63
1041,8.28,10.88
1042,8.8,10.58
1043,6.37,10.56
1044,8.86,8.17
1045,6.06,10.97
1046,5.09,3.2
1047,6.57,4.81
1048,7.25,2.04
1049,6.29,9.66
1050,6.83,12.33
1051,6.08,12.81
1052,6.62,5.66
1053,8.76,8.33
1054,6.5,16.8
1055,5.27,9.13
1056,7.79,19.71
1057,5.69,4.92
1058,8.08,11.85
1059,4.28,3.92
1060,5.66,14.31
1061,4.47,13.23
1062,4.43,18.57
1063,7.29,19.83
1064,5.93,5.61
1065,8.36,12.9
1066,6.58,10.85
1067,5.48,10.2
1068,7.6,3.68
1069,7.12,13.22
1070,8.0,12.98
1071,7.22,10.7
1072,4.84,1.36
1073,7.35,4.51
1074,5.96,12.45
1075,6.32,5.64
1076,8.61,21.78
1077,5.8,14.26
1078,7.06,11.21
1079,5.82,13.07
1080,4.47,0.77
1081,6.27,19.68
1082,6.99,11.02
1083,6.04,21.01
1084,5.95,11.93
1085,8.1,15.46
1086,4.15,1.0
1087,5.48,9.64
1088,8.06,12.59
1089,8.6,10.98
1090,6.06,14.06
1091,8.44,5.38
1092,4.99,20.13
1093,5.11,15.14
1094,8.23,6.38
1095,8.52,14.16
1096,5.11,4.98
1097,4.3,8.58
1098,4.45,6.39
1099,5.31,16.15
1100,7.81,4.09
1101,6.55,9.4
1102,6.28,9.43
1103,6.92,4.76
1104,8.45,11.3
1105,4.45,4.92
1106,7.47,10.23
1107,8.63,23.16
1108,5.07,18.2
1109,8.19,16.46
1110,7.49,4.36
1111,4.07,6.12
1112,5.16,11.19
1113,7.03,4.59
1114,6.51,12.37
1115,6.64,2.58
1116,5.16,17.27
1117,7.38,0.43
1118,5.33,14.45
1119,5.95,4.2
1120,5.84,1.83
1121,7.36,10.93
1122,4.45,7.58
1123,5.03,14.66
1124,5.0,7.66
1125,4.54,4.12
1126,5.04,17.66
1127,7.04,9.02
1128,7.66,14.45
1129,7.3,9.23
1130,6.38,10.87
1131,4.26,6.31
1132,8.8,6.06
1133,4.84,9.94
1134,7.34,10.72
1135,8.56,8.55
1136,7.49,11.02
1137,5.09,13.03
1138,5.58,1.51
1139,4.15,6.22
1140,7.06,10.0
1141,7.06,3.8
1142,7.63,6.43
1143,4.05,0.98
1144,8.09,20.63
1145,7.69,13.22
1146,4.7,3.89
1147,5.74,2.1
1148,7.19,13.98
1149,6.48,9.1
1150,4.58,10.9
1151,4.44,13.8
1152,7.91,13.83
1153,4.78,5.89
1154,4.86,14.24
1155,8.15,17.1
1156,7.06,9.14
1157,7.02,12.23
1158,6.4,8.22
1159,6.84,7.28
1160,7.01,14.99
1161,8.84,21.09
1162,5.11,10.75
1163,5.07,10.76
1164,4.29,4.28
1165,7.29,4.0
1166,6.75,9.75
1167,4.56,5.83
1168,5.82,15.58
1169,4.89,6.63
1170,5.66,14.15
1171,8.76,15.72
1172,7.42,11.4
1173,4.04,7.59
1174,5.26,10.8
1175,4.05,21.11
1176,7.57,17.15
1177,6.35,5.28
1178,8.97,6.07
1179,7.67,4.8
1180,6.59,9.34
1181,8.02,12.92
1182,7.52,14.47
1183,5.22,5.76
1184,6.65,5.56
1185,6.78,5.33
1186,6.26,13.39
1187,4.9,7.73
1188,5.12,9.32
1189,5.41,10.7
1190,4.05,15.26
1191,8.58,13.54
1192,7.43,7.65
1193,7.45,11.64
1194,6.86,13.81
1195,7.45,3.47
1196,8.91,1.2
1197,5.93,5.57
1198,7.56,10.16
1199,5.8,11.27
1200,8.27,18.13
1201,8.29,2.05
1202,8.51,4.68
1203,4.03,5.39
1204,5.49,9.35
1205,4.67,6.57
1206,6.27,14.48
1207,6.48,5.44
1208,5.28,11.48
1209,7.62,17.26
1210,5.35,15.18
1211,8.27,20.55
1212,4.89,13.6
1213,5.84,18.84
1214,7.11,7.88
1215,7.03,2.98
1216,4.39,2.58
1217,8.23,13.7
1218,6.99,15.47
1219,8.35,4.85
1220,8.34,11.44
1221,6.73,12.22
1222,8.55,17.98
1223,8.24,12.55
1224,8.79,17.25
1225,8.25,6.45
1226,8.11,8.58
1227,6.35,5.44
1228,5.06,7.86
1229,8.55,1.39
1230,7.61,11.27
1231,5.41,9.83
1232,5.7,13.95
1233,7.43,7.62
1234,6.39,10.96
1235,4.41,4.14
1236,4.71,3.97
1237,7.73,12.04
1238,5.64,3.62
1239,6.54,0.07
1240,7.83,15.68
1241,7.76,1.21
1242,4.84,18.01
1243,4.49,9.38
1244,6.96,14.06
1245,7.71,-3.01
1246,4.75,10.73
1247,5.86,7.92
1248,8.35,13.65
1249,8.72,8.09
1250,6.27,4.36
1251,4.4,19.72
1252,5.29,7.59
1253,5.16,2.42
1254,5.19,5.94
1255,6.47,10.86
1256,6.92,6.51
1257,4.61,8.5
1258,8.45,-2.67
1259,7.1,11.22
1260,6.99,15.73
1261,8.94,10.28
1262,7.14,10.16
1263,8.64,3.43
1264,5.43,10.9
1265,5.2,3.5
1266,6.58,5.62
1267,6.54,10.69
1268,5.13,19.47
1269,7.5,0.63
1270,4.15,10.7
1271,7.45,11.83
1272,6.29,9.91
1273,7.45,15.85
1274,6.39,6.74
1275,8.89,-0.28
1276,5.67,12.49
1277,8.91,6.14
1278,4.32,0.27
1279,7.42,7.16
1280,6.27,7.68
1281,8.11,12.52
1282,7.95,2.96
1283,8.0,11.19
1284,4.47,9.67
1285,8.11,5.35
1286,5.07,19.9
1287,4.13,2.58
1288,5.09,15.86
1289,6.4,12.3
1290,7.71,14.39
1291,5.09,9.34
1292,4.57,10.49
1293,7.23,15.75
1294,8.92,16.26
1295,7.0,6.22
1296,7.46,5.8
1297,6.81,10.92
1298,7.91,13.36
1299,8.88,5.66
1300,6.72,9.15
1301,6.08,15.41
1302,8.3,11.31
1303,8.85,13.63
1304,4.65,8.41
1305,6.89,15.68
1306,7.96,10.13
1307,6.67,14.47
1308,6.05,6.9
1309,7.28,12.26
1310,5.35,1.37
1311,5.75,4.11
1312,8.96,11.23
1313,7.18,13.67
1314,8.36,13.43
1315,8.04,5.18
1316,7.26,13.32
1317,8.2,6.77
1318,5.44,12.34
1319,7.19,6.55
1320,6.95,14.46
1321,7.11,14.85
1322,4.84,9.37
1323,5.39,5.13
1324,5.43,10.43
1325,7.01,15.64
1326,8.86,12.33
1327,8.77,13.01
1328,5.14,9.59
1329,5.52,11.11
1330,4.18,6.09
1331,5.99,5.63
1332,8.17,12.37
1333,8.58,2.54
1334,5.18,14.44
1335,5.33,16.62
1336,5.1,17.72
1337,5.75,16.67
1338,8.02,6.87
1339,7.23,13.14
1340,7.93,3.56
1341,6.92,3.83
1342,5.29,10.68
1343,5.14,2.89
1344,4.05,13.87
1345,7.9,12.93
1346,8.24,11.73
1347,7.84,9.32
1348,4.37,14.92
1349,7.81,2.43
1350,4.23,14.95
1351,4.53,4.49
1352,6.2,9.87
1353,6.38,8.96
1354,8.08,3.02
1355,7.4,8.8
1356,4.77,5.64
1357,5.13,10.42
1358,5.43,7.18
