student_id,study_hours,attendance,grades
203,2.44,65.83,72.87
204,9.36,86.11,83.66114802329601
205,7.15,60.52,82.63
206,6.9,76.28,108.89931594795696
207,6.0,72.37,44.39
208,3.64,75.28,35.68
209,6.59,79.92,47.86
210,4.69,84.02,41.01
211,2.31,83.34,61.26
212,7.21,85.23,51.617656377514194
213,2.17,93.78,75.94975519720927
214,2.72,95.47,65.72
215,8.36,89.49,85.86751605822991
216,6.94,63.16,77.79
217,6.68,98.45,55.69
218,4.76,97.9,61.59
219,4.57,88.47,79.68
220,7.21,80.7,63.16524500862786
221,7.66,70.02,70.88
222,5.59,90.25,52.27
223,9.72,95.11,108.06139606676896
224,9.6,86.61,71.60454711361115
225,4.71,85.16,86.37
226,8.39,67.72,100.0
227,5.89,74.31,79.72
228,5.61,88.93,81.47
229,1.49,60.68,31.58
230,6.17,85.65,71.51
231,9.11,90.67,92.52
232,8.02,73.39,100.0
233,8.08,63.05,75.26141396754363
234,2.44,92.76,26.08
235,4.23,65.67,49.13
236,3.1,74.83,49.38
237,3.84,88.29,74.69
238,6.22,92.68,68.05
239,4.28,94.5,81.72
240,6.05,81.22,79.51
241,4.95,79.03,60.33
242,3.58,93.93,39.33
243,1.86,82.52,59.64
244,9.03,83.15,93.92768602159194
245,1.1,77.36,31.23
246,1.01,74.91,6.33
247,8.44,79.22,94.69
248,9.97,74.59,94.47
249,7.54,73.74,77.56969391708812
250,1.14,99.75,57.2
251,3.04,73.45,71.38
252,9.75,70.26,100.0
253,8.28,74.16,65.39178514870629
254,6.1,83.63,100.0
255,3.13,96.44,48.33
256,1.13,91.51,42.9
257,1.19,93.69,55.02
258,6.51,94.36,75.45
259,1.2,96.82,66.31
260,9.94,69.4,98.99
261,2.65,78.33,31.24
262,7.4,75.41,71.64
263,2.4,75.28,58.41
264,5.86,86.09,69.82
265,1.73,76.07,45.54723404249764
266,7.9,84.65,62.45329605631551
267,6.26,75.29,40.59
268,1.78,72.45,73.36607638135598
269,8.64,74.12,80.06783136209714
270,5.92,92.15,82.12
271,9.29,84.04,100.0
272,9.25,98.96,72.96353862220805
273,9.28,93.31,81.5276491754453
274,1.7,79.43,43.52
275,2.09,69.7,74.46761425004254
276,9.89,86.96,106.27571102291984
277,5.39,89.07,78.64
278,3.14,78.57,40.44
279,7.93,69.2,100.0
280,3.38,82.29,30.56
281,7.54,70.15,87.65
282,8.54,97.6,104.4782459478344
283,8.06,85.16,79.98816052310234
284,3.47,71.68,59.69
285,4.61,68.63,70.3880198608261
286,4.72,88.67,41.4
287,5.42,88.31,59.88
288,2.51,83.89,51.12
289,5.07,84.57,53.01
290,5.6,84.15,75.61
291,5.79,74.4,59.18
292,8.38,97.5,100.0
293,5.66,79.17,45.22
294,3.08,60.81,62.82
295,6.97,73.93,51.23
296,8.18,65.21,83.47
297,3.87,74.54,66.96
298,6.81,84.33,77.07
299,2.32,60.91,36.24
300,4.08,94.81,56.44
301,9.18,84.41,70.80274440327398
302,9.2,71.81,94.34447456224008
303,6.18,72.45,62.33
304,7.32,78.63,73.87454030472726
305,8.69,69.92,107.24716422696136
306,9.63,60.17,88.0
307,5.41,61.06,41.01
308,6.05,74.31,73.93
309,4.74,64.97,59.07
310,1.65,60.89,27.82
311,4.81,94.37,82.97
312,8.12,70.97,84.50682558011331
313,8.24,80.12,68.61906311714304
314,9.03,67.18,73.02
315,1.46,61.87,32.07
316,5.74,89.79,84.89
317,1.97,65.0,48.53101538539005
318,2.81,61.03,51.93
319,9.1,83.49,77.56
320,5.47,60.54,39.66026183552589
321,7.83,77.45,62.5
322,1.58,71.55,17.69
323,4.75,72.78,64.78
324,7.07,60.16,86.06
325,2.2,98.57,32.9
326,3.93,80.68,70.26
327,1.58,82.9,41.96980279756957
328,6.86,86.64,91.14
329,9.74,91.9,81.31590848817952
330,8.44,84.32,100.0
331,9.77,90.49,99.62
332,8.61,77.95,79.36
333,8.7,74.85,80.11
334,6.19,92.93,79.15405590116468
335,5.66,94.61,75.08
336,4.66,65.51,77.72000012707593
337,8.36,81.71,99.85
338,2.64,87.35,54.18
339,1.51,63.34,43.75033814886476
340,9.53,97.18,100.0
341,1.03,80.8,18.93
342,9.79,85.82,90.46
343,7.56,67.13,84.06
344,3.96,70.58,60.91
345,7.28,64.84,56.92052959397775
346,8.36,70.56,99.26
347,3.21,79.7,44.86
348,7.94,93.35,80.19
349,8.24,81.35,94.12
350,3.24,69.78,27.61
351,1.38,61.78,49.53
352,2.84,84.88,61.51
353,2.81,76.81,26.0
354,1.59,99.37,43.46
355,7.53,91.19,78.11775480039478
356,4.42,92.33,67.61
357,8.96,60.49,76.05493862387472
358,3.27,91.11,45.79481183316601
359,5.08,67.78,82.06
360,6.75,83.43,72.66
361,8.9,77.9,71.05
362,5.72,82.86,90.15
363,4.36,65.34,38.82
364,8.8,78.28,100.0
365,3.79,61.48,41.48
366,1.71,61.64,29.05
367,5.01,86.31,39.94
368,8.07,98.07,100.0
369,1.28,91.1,51.41
370,6.27,78.77,95.63
371,6.35,62.23,65.83
372,9.36,61.8,83.61092876584584
373,3.58,66.32,46.04
374,3.51,99.03,30.3
375,4.96,75.95,47.39
376,4.21,93.74,70.85
377,7.63,88.21,96.53
378,6.78,84.22,65.87
379,7.83,97.91,79.67
380,8.38,69.22,100.0
381,9.31,78.2,90.1
382,4.88,94.59,60.58
383,9.86,82.07,92.52
384,2.94,69.86,35.43
385,7.43,68.36,78.9
386,5.81,90.12,82.99
387,8.35,60.51,88.17
388,5.29,96.57,48.14
389,8.06,60.74,54.76843732590896
390,9.37,85.24,90.76591705382256
391,7.59,84.19,80.38
392,7.98,83.14,53.24849641996617
393,1.6,78.97,42.07
394,2.84,94.1,37.3
395,9.77,86.37,85.34850533317113
396,7.24,91.27,89.74
397,6.05,64.62,70.0
398,4.3,62.0,63.15
399,1.4,61.14,46.88
400,4.32,65.89,47.92
401,5.49,86.68,55.52
402,2.9,79.76,38.82
403,2.56,90.09,42.14
404,5.58,67.67,61.64
405,6.27,74.68,82.77
406,3.16,95.54,57.65
407,6.29,97.43,78.44
408,9.1,96.87,90.85
409,5.26,92.73,101.01240878714766
410,8.72,87.53,77.49275493733883
411,9.35,96.55,100.0
412,1.83,88.57,24.56
413,1.86,98.16,44.61
414,5.28,60.99,82.83
415,6.29,96.87,75.3
416,4.83,82.23,51.43
417,3.94,64.47,53.41
418,6.77,68.6,64.37
419,1.02,94.09,60.01
420,9.71,80.24,88.12121322787581
421,3.09,99.31,32.7
422,9.25,64.7,100.0
423,1.98,76.5,63.81
424,3.14,73.27,18.52
425,3.11,80.65,69.21
426,9.97,85.34,112.16977415221528
427,1.04,86.47,26.56
428,6.76,60.05,60.17
429,8.83,63.56,80.84
430,7.05,61.4,76.66
431,4.26,94.58,79.25
432,9.62,72.53,87.02205718422184
433,9.04,74.68,69.74328788570688
434,4.91,78.01,58.65
435,6.16,93.97,53.97
436,9.71,60.57,100.0
437,9.84,64.74,100.0
438,5.05,87.41,40.93
439,8.63,98.56,93.92
440,3.72,85.71,54.81
441,4.35,70.44,62.55
442,2.48,80.79,66.77
443,2.88,99.0,53.65
444,6.91,81.12,57.68
445,5.6,74.94,45.79
446,3.08,75.34,22.06
447,4.63,98.68,29.08
448,4.36,88.76,36.47
449,9.89,87.49,79.3
450,8.68,69.28,87.61
451,4.49,82.38,34.99
452,9.23,74.27,100.0
453,4.08,69.61,78.21
454,7.01,95.82,84.62
455,9.7,75.33,86.54
456,4.51,71.31,72.53
457,7.12,97.27,107.06897784285844
458,3.66,67.89,54.36
459,3.4,89.82,44.18
460,6.17,86.11,68.13
461,9.81,96.82,93.20214596741016
462,5.08,93.28,70.35
463,9.44,88.21,100.0
464,9.23,72.58,77.99
465,3.28,79.82,64.52
466,4.62,97.78,55.92
467,6.79,60.93,54.98
468,5.66,91.77,70.06
469,1.86,70.07,21.85
470,9.94,67.4,100.0
471,7.77,69.29,87.37
472,4.94,62.39,68.84
473,6.56,99.68,97.48
474,1.79,94.79,42.09
475,5.46,80.84,84.12
476,9.38,88.6,100.0
477,9.07,82.26,98.59
478,4.04,92.46,78.09
479,5.78,93.79,63.63310311255715
480,7.28,69.31,67.16
481,4.06,78.39,47.94
482,1.58,85.39,53.56
483,5.55,99.14,98.15
484,6.41,87.31,91.48
485,1.05,95.91,66.5
486,1.86,93.84,16.15
487,2.87,83.28,39.74
488,4.13,95.75,94.8
489,5.87,75.1,68.27
490,3.64,75.17,15.15
491,3.49,91.24,53.93
492,8.82,65.38,79.15443551761663
493,2.31,72.23,69.21
494,5.46,84.34,97.1
495,9.58,76.8,84.2048807656223
496,6.63,97.63,71.68
497,7.45,98.34,82.2905747090448
498,4.88,80.1,58.91
499,1.18,81.56,44.64
500,6.82,88.99,60.24
501,6.69,78.29,81.23
502,1.99,67.6,47.9
503,5.16,89.88,43.05
504,9.24,89.51,84.51
505,2.85,69.8,41.95
506,5.15,93.32,53.18
507,5.15,84.55,40.39
508,8.3,69.45,86.28
509,8.42,86.08,86.47
510,7.83,69.34,78.05368000881292
511,4.29,70.61,35.05
512,1.65,93.92,41.17
513,4.15,97.18,88.46493540595333
514,7.12,70.28,78.16
515,7.32,97.12,71.17
516,9.69,69.55,75.12566223462531
517,5.08,64.69,33.98
518,6.69,62.33,80.03
519,5.85,69.68,64.68
520,2.36,75.41,63.073548115314935
521,5.15,97.1,31.07
522,5.9,69.69,80.1
523,9.56,74.62,100.0
524,4.3,89.37,79.66
525,9.82,72.08,96.8
526,5.88,87.37,69.77
527,3.18,77.28,40.18
528,2.72,67.86,29.41
529,2.28,89.36,67.23
530,5.08,61.08,53.41
531,1.2,71.69,11.28
532,5.01,74.25,79.33
533,9.9,78.33,100.0
534,7.03,87.19,55.61577247306304
535,7.84,78.38,71.52674068711406
536,2.07,83.77,39.96
537,5.26,83.83,85.66
538,3.58,74.93,83.21
539,9.05,97.36,100.0
540,2.63,98.23,67.93
541,5.13,83.27,48.92
542,6.29,62.87,89.78
543,5.63,79.65,64.03
544,8.47,67.38,84.84
545,3.08,79.33,52.13
546,4.4,67.54,27.48567673755596
547,8.13,88.15,100.0
548,5.75,63.22,64.58
549,4.62,98.13,69.5
550,1.26,67.82,49.99
551,7.78,86.43,87.84510869305112
552,9.75,96.68,97.64
553,6.58,69.92,60.62
554,8.71,97.37,83.73617330094483
555,5.65,75.55,64.79
556,3.09,98.42,72.86
557,1.13,98.85,37.96
558,6.88,67.52,94.91
559,5.44,93.24,55.13
560,8.04,67.74,95.0002909165002
561,7.25,69.06,97.49
562,9.89,63.37,59.67023462540532
563,5.59,66.26,56.71017531018326
564,4.84,85.29,57.37
565,3.58,77.97,53.52
566,5.29,91.64,80.26
567,8.86,73.28,69.9715172799615
568,1.38,98.74,63.51
569,9.8,61.99,67.14660399561133
570,9.94,62.52,95.38
571,6.38,88.05,93.44
572,3.98,95.5,45.56
573,3.01,91.82,29.58
574,3.49,79.59,41.92
575,1.45,70.79,23.24
576,5.28,60.54,80.61
577,1.52,80.38,43.3
578,7.47,79.03,75.12712682042016
579,4.35,73.77,65.27
580,2.79,83.12,47.26991472313569
581,5.9,89.15,66.47
582,9.76,88.04,100.0
583,7.26,70.53,70.7
584,5.43,83.41,68.8
585,7.99,65.95,54.48220060669546
586,7.64,64.86,80.71091769299122
587,9.03,91.43,72.35
588,2.84,87.75,61.54
589,8.73,90.72,93.3485808810224
590,3.71,66.1,59.16
591,9.47,96.58,100.0
592,3.53,65.32,63.50126464045791
593,9.34,94.8,100.0
594,9.67,74.1,100.0
595,2.31,64.22,38.6
596,9.77,71.47,97.98
597,1.77,67.26,39.61
598,2.97,79.63,50.09
599,5.0,97.99,87.47
600,9.94,73.11,92.5246279711659
601,5.4,84.48,82.11
602,5.95,95.67,50.74
603,7.25,85.2,97.72
604,9.71,74.49,72.97289917257869
605,8.05,99.63,99.74
606,3.02,67.5,27.04
607,3.73,80.93,66.53052453310427
608,1.88,91.87,32.39
609,6.8,60.03,72.99880801021058
610,2.63,88.08,75.15
611,3.32,70.66,43.19
612,8.99,66.79,100.0
613,3.94,70.97,24.62
614,6.1,98.67,100.0
615,4.58,95.68,57.88
616,1.67,68.55,23.46
617,4.27,64.68,57.49
618,4.67,74.57,63.42
619,9.06,83.69,84.17602926350791
620,3.92,94.69,43.54
621,4.41,98.64,33.16
622,8.05,90.05,100.0
623,7.83,83.96,95.75
624,8.18,65.69,100.0
625,9.58,62.96,100.0
626,8.16,83.84,84.85605763016744
627,4.67,81.56,67.52
628,8.39,93.84,97.71
629,5.58,72.9,70.88
630,3.5,61.59,34.36
631,3.73,76.95,33.67
632,3.01,98.77,53.92
633,2.3,91.82,42.77067476536303
634,2.66,61.35,43.97683657422223
635,1.57,94.99,35.2
636,9.0,78.87,94.33
637,9.38,74.59,100.0
638,6.28,73.87,100.0
639,8.56,83.81,85.15
640,2.65,81.22,29.537818650966003
641,9.12,86.27,94.55
642,5.56,82.95,75.9
643,1.6,65.76,6.86
644,2.27,70.29,18.17
645,3.78,93.64,60.86
646,1.39,86.53,47.96
647,3.78,77.94,77.76
648,1.54,67.3,55.41
649,3.12,60.31,71.11
650,3.39,72.48,61.83
651,9.95,62.19,86.51
652,3.12,79.29,76.25
653,3.15,92.87,81.23
654,7.18,71.42,80.61
655,8.73,93.91,101.04093068234889
656,4.48,88.18,51.18
657,8.88,65.01,89.30741638792
658,4.06,85.78,80.03
659,2.77,66.07,53.55
660,3.97,86.19,62.92
661,6.48,65.71,84.21
662,4.3,75.7,28.22
663,7.06,82.66,80.68287643578981
664,3.13,62.01,43.1
665,7.31,66.13,44.41031785517972
666,4.13,72.82,46.87
667,5.1,78.49,88.59
668,6.02,94.34,49.51
669,7.18,67.49,96.17
670,3.15,73.9,24.64
671,8.52,79.03,93.25
672,7.5,71.83,76.88534550896554
673,3.11,85.03,38.68
674,9.77,70.26,100.0
675,6.98,90.89,100.0
676,5.07,80.21,70.10109932514526
677,2.42,63.45,68.13040692113319
678,5.8,85.08,35.16
679,2.48,82.77,43.61
680,4.87,73.54,71.04179350629198
681,4.68,60.45,66.44
682,7.48,68.03,62.38011353837222
683,2.73,76.23,60.07
684,8.4,68.0,100.0
685,3.94,83.1,75.45
686,5.0,88.49,63.31
687,7.95,94.24,100.0
688,6.63,85.88,98.03
689,3.77,87.56,54.25
690,4.48,84.34,59.1
691,3.75,99.42,63.5
692,6.35,70.44,74.43
693,3.99,70.65,55.53
694,7.53,65.05,90.63
695,6.22,79.43,90.11
696,2.31,63.85,36.22
697,3.79,70.81,44.96475423600024
698,2.99,79.31,62.62
699,4.51,98.3,80.18
700,5.64,98.55,95.02
701,5.56,89.75,54.28
702,7.79,75.57,76.38071453885672
703,2.7,94.61,65.78
704,9.52,95.02,90.42625091219584
705,4.09,96.41,56.33
706,3.7,85.6,40.08
707,7.17,68.07,92.4
708,8.25,63.64,97.36755881512325
709,4.41,96.59,85.47
710,7.72,62.22,70.24934880652862
711,8.95,71.84,73.05305241888387
712,7.9,79.48,83.54
713,1.31,60.88,61.53
714,8.45,96.28,91.27
715,7.97,71.48,99.94
716,7.02,61.14,65.46
717,7.84,99.74,97.22
718,9.81,72.46,109.30571550263484
719,4.88,95.07,50.6
720,1.61,78.14,42.77
721,5.15,86.53,62.18
722,1.42,69.64,65.80361398516699
723,3.65,80.12,37.92
724,6.28,70.31,74.54
725,3.79,98.04,37.98
726,7.17,62.44,73.91
727,8.4,70.99,63.98963809238701
728,4.78,95.72,41.7
729,9.1,79.2,85.71
730,1.72,84.0,28.11
731,8.56,86.07,95.96
732,8.46,62.84,86.3925211678864
733,3.9,60.71,71.33
734,3.69,97.51,44.94
735,3.75,70.86,46.57
736,8.3,75.21,73.92048186023831
737,8.48,87.28,100.0
738,3.97,69.45,63.97
739,6.33,89.32,96.99
740,2.25,78.33,48.08
741,5.22,94.26,94.87186469891468
742,9.99,71.14,84.73095197262086
743,2.43,68.15,70.4
744,9.53,93.27,88.36
745,8.42,73.05,72.38503386250412
746,9.75,76.47,99.76
747,2.62,91.75,65.74
748,2.92,85.42,57.84
749,1.15,77.67,57.24
750,7.52,70.0,45.44068265234367
751,6.8,90.57,59.4
752,2.6,67.22,52.86
753,8.12,97.13,86.65
754,3.69,66.01,69.03228024504236
755,2.21,92.2,31.0
756,4.8,76.97,51.53483496713002
757,1.82,67.44,14.65
758,3.37,76.1,70.66508614136731
759,4.34,68.86,65.38
760,8.67,65.44,100.0
761,8.13,69.57,107.63555223728798
762,4.98,94.7,67.38
763,7.52,64.24,74.95
764,6.12,98.9,61.97
765,4.07,60.2,69.21
766,7.53,86.33,91.71
767,7.15,94.26,100.0
768,6.57,97.36,91.72
769,6.56,65.76,66.93
770,7.15,87.93,80.74
771,4.46,64.29,48.02
772,8.82,74.1,100.0
773,2.46,89.28,48.96
774,8.95,73.84,100.0
775,4.08,72.53,38.83
776,2.13,64.64,39.59
777,6.4,62.66,67.09
778,4.38,64.61,26.18
779,8.34,95.02,96.12
780,4.88,60.45,59.43
781,7.02,87.71,64.20655124113735
782,3.77,90.74,76.37253510905738
783,2.89,82.72,74.07
784,4.49,89.23,74.83
785,6.46,86.09,81.45693261182441
786,6.91,78.22,44.89
787,6.2,75.31,73.76
788,9.89,97.65,109.810609885052
789,7.22,98.88,100.0
790,9.38,86.05,100.0
791,2.06,67.89,60.65
792,1.55,77.92,64.72
793,3.8,79.86,79.18
794,2.23,90.32,62.23
795,5.73,86.71,56.12
796,5.67,80.59,90.1
797,6.18,87.21,94.71
798,7.71,60.96,88.08
799,9.74,91.07,100.19453843732995
800,8.9,68.47,89.37972250981585
801,2.07,86.26,29.55
802,4.05,64.56,57.13
803,3.3,64.58,23.74
804,2.59,61.43,27.75
805,5.9,96.41,82.28
806,5.98,84.18,64.05
807,3.05,74.48,28.6
808,7.41,91.51,93.4418630473577
809,7.6,85.04,63.45502248867128
810,1.19,84.8,20.84
811,4.56,79.48,75.56
812,9.01,60.32,84.67
813,5.68,70.34,80.32
814,4.13,64.36,38.05
815,3.28,86.5,74.97
816,3.19,69.94,35.71
817,1.9,78.01,59.18798816746931
818,8.36,74.14,83.41
819,1.78,65.73,46.93
820,3.63,98.33,60.97
821,1.41,97.34,17.29
822,8.03,63.38,90.07
823,1.35,93.09,60.36
824,3.77,79.53,70.93
825,6.16,90.95,87.51
826,4.69,66.05,90.42
827,3.54,65.29,64.42
828,3.48,95.63,53.30625203912849
829,8.18,95.91,95.79
830,9.77,78.64,100.0
831,4.13,94.81,53.75
832,1.35,86.7,66.2
833,1.33,67.4,39.42
834,7.83,73.16,65.42
835,5.97,65.44,72.38
836,8.05,90.96,91.58278429455189
837,7.28,99.41,89.75
838,9.17,81.86,79.90021781286356
839,8.97,86.23,77.27314657157552
840,8.09,89.84,88.14
841,5.28,68.97,68.74
842,3.77,73.44,69.01
843,5.56,76.49,78.73
844,5.52,83.78,46.08
845,6.49,94.02,69.09
846,2.67,70.17,55.45
847,6.9,78.84,84.75
848,5.11,90.06,78.56891139604457
849,6.58,63.5,70.77
850,3.16,80.52,43.68
851,4.91,65.78,66.12
852,2.89,81.57,57.01
853,8.88,90.71,111.02209619766047
854,5.39,69.48,70.63
855,3.02,93.98,65.97
856,1.37,73.39,50.92
857,7.08,67.63,76.93
858,2.93,78.61,33.6
859,9.91,95.04,85.4718747079851
860,5.8,62.76,69.39
861,3.6,73.1,27.36
862,6.92,86.13,76.45
863,3.48,74.3,45.81
864,8.38,62.83,57.969388232639616
865,3.77,73.28,58.27
866,9.89,92.84,76.80640137935809
867,6.45,98.72,104.44803790650823
868,8.6,61.59,100.0
869,1.66,82.77,41.07
870,4.13,64.21,28.05
871,7.64,87.22,75.01895932574789
872,6.9,60.32,70.02
873,2.75,60.59,49.2
874,4.21,91.08,79.0
875,3.37,62.98,33.41
876,6.52,72.21,87.6
877,4.1,98.32,57.12
878,3.78,99.41,80.5512030847191
879,2.87,66.46,51.82
880,4.68,82.44,73.86
881,2.76,82.37,28.43
882,9.66,78.1,91.02
883,2.39,96.99,23.19
884,9.22,90.16,100.0
885,4.86,90.58,75.92
886,4.4,70.78,56.13
887,3.08,77.37,35.66583457959992
888,6.72,79.5,48.41
889,7.17,71.96,79.47
890,5.21,63.79,62.72
891,1.5,65.05,41.55
892,9.27,67.23,100.0
893,9.82,68.15,76.45287211421343
894,4.88,69.69,72.17
895,6.52,70.22,69.29
896,5.05,78.23,79.58
897,3.9,80.38,56.84
898,1.7,72.36,47.79
899,5.1,96.29,75.25
900,8.37,82.13,89.33
901,1.15,91.5,31.89
902,6.24,96.97,51.18
903,8.93,66.53,100.0
904,2.96,77.11,42.49
905,2.65,77.33,22.82
906,7.95,74.18,73.86543772211473
907,3.3,60.36,31.63
908,2.73,92.64,23.82505369747551
909,4.4,64.46,53.18
910,4.53,99.82,55.22
911,8.87,90.92,100.0
912,6.57,83.2,74.35
913,4.65,66.18,24.82
914,5.81,80.62,71.67
915,9.59,70.44,83.79793508418288
916,2.02,70.09,32.88
917,2.87,93.18,82.41129974554681
918,9.66,75.23,91.25440478535728
919,9.62,78.03,99.06
920,2.59,93.72,81.16
921,2.31,63.51,23.98
922,4.79,83.78,62.08
923,1.45,83.13,39.06
924,6.89,77.01,70.64
925,1.7,93.19,58.865300170598914
926,1.52,97.72,38.6
927,5.37,78.61,74.23277184362836
928,9.62,78.25,84.75
929,4.84,80.08,79.92
930,4.21,88.92,54.38
931,9.98,86.72,100.0
932,5.79,68.91,49.50759146593076
933,4.38,62.56,75.28501012797848
934,4.47,97.97,57.83
935,2.75,70.44,29.15
936,5.61,85.54,100.0
937,4.95,93.14,70.27
938,3.44,72.01,42.81
939,2.44,85.42,38.29
940,3.8,64.32,49.34
941,5.58,98.8,73.33
942,1.52,62.33,19.75
943,2.38,77.53,23.92
944,9.53,81.47,80.35492307143629
