student_id,age,gender,stress_level,social_activity
269,20,Male,Low,4.08
270,18,Male,Medium,3.39
271,19,Other,Medium,1.32
272,18,Female,High,1.59
273,16,Female,High,2.44
274,16,Male,Low,3.96
275,20,Male,Medium,4.36
276,21,Other,Medium,3.17
277,18,Male,Medium,3.61
278,24,Male,Low,1.32
279,20,Female,Medium,3.71
280,23,Male,Low,3.02
281,16,Female,Medium,1.11
282,20,Female,Low,4.75
283,18,Male,Low,2.56
284,16,Male,Medium,3.97
285,19,Male,Medium,2.63
286,20,Female,Low,4.66
287,22,Female,Medium,0.71
288,16,Male,Low,2.73
289,18,Male,Medium,0.13
290,17,Female,Medium,0.99
291,24,Female,Low,1.41
292,21,Male,Medium,2.36
293,18,Male,Low,4.1
294,23,Male,Medium,2.33
295,23,Female,Low,2.81
296,17,Other,Medium,4.62
297,21,Male,Medium,3.78
298,22,Female,Medium,0.25
299,17,Male,Low,0.88
300,17,Male,Medium,0.19
301,16,Male,High,0.35
302,23,Female,High,1.69
303,16,Female,Low,3.64
304,24,Female,Low,1.22
305,21,Male,Medium,1.96
306,22,Male,Medium,1.97
307,22,Male,Medium,2.95
308,18,Female,Medium,4.46
309,17,Male,Medium,4.92
310,24,Female,Low,3.02
311,23,Male,Medium,2.53
312,22,Male,Low,3.41
313,24,Male,Low,3.34
314,19,Male,High,2.62
315,19,Male,Medium,3.68
316,16,Male,Medium,2.46
317,23,Female,Low,4.98
318,18,Female,Medium,0.24
319,22,Male,High,2.22
320,17,Male,Low,1.99
321,17,Male,High,3.85
322,22,Male,Low,0.95
323,21,Male,Medium,2.17
324,18,Female,High,3.49
325,24,Male,Low,3.02
326,21,Male,Medium,2.73
327,21,Male,Low,2.17
328,16,Male,Medium,3.76
329,19,Female,High,3.23
330,21,Male,Medium,4.37
331,21,Male,Medium,3.66
332,20,Female,Medium,0.7
333,16,Male,High,3.1
334,23,Female,Medium,0.22
335,20,Female,Medium,1.94
336,20,Male,Medium,2.06
337,22,Female,Medium,4.27
338,19,Male,Medium,0.9
339,21,Female,Medium,3.22
340,19,Male,Medium,0.96
341,18,Male,Low,4.74
342,22,Female,High,2.65
343,23,Female,High,3.54
344,19,Other,Medium,3.23
345,17,Female,High,1.52
346,18,Male,Medium,4.51
347,16,Male,Low,3.14
348,23,Male,High,2.55
349,18,Male,High,2.64
350,22,Male,Low,4.45
351,20,Female,Medium,0.3
352,20,Male,Medium,1.95
353,22,Male,Low,4.21
354,24,Male,Low,0.19
355,20,Female,Low,3.2
356,16,Female,Low,2.02
357,16,Female,Low,1.02
358,17,Male,Low,3.06
359,21,Female,Medium,4.16
360,24,Male,Low,2.34
361,23,Female,Medium,0.73
362,20,Female,Medium,1.53
363,16,Male,Medium,4.91
364,22,Female,High,0.56
365,20,Female,Low,0.8
366,21,Male,Medium,4.95
367,22,Female,Low,4.41
368,18,Male,Medium,3.54
369,18,Male,Medium,0.75
370,20,Male,Medium,1.2
371,21,Male,Medium,0.9
372,24,Female,Low,3.15
373,20,Male,Low,1.99
374,16,Female,Low,0.24
375,19,Male,Low,1.46
376,20,Other,Medium,4.3
377,20,Female,Medium,3.98
378,22,Female,Low,3.22
379,19,Male,High,0.43
380,16,Male,Medium,4.41
381,20,Male,Medium,2.67
382,22,Female,Medium,2.47
383,21,Female,High,4.67
384,20,Male,Low,0.04
385,19,Male,Medium,2.78
386,17,Female,Medium,3.96
387,19,Male,Medium,0.32
388,18,Female,Low,1.79
389,16,Female,High,4.89
390,23,Female,Low,1.06
391,20,Male,High,2.66
392,19,Male,High,3.73
393,23,Female,Low,1.95
394,22,Female,Low,2.04
395,17,Male,High,0.32
396,16,Male,Medium,0.95
397,19,Female,Medium,4.4
398,23,Female,Medium,4.09
399,17,Female,Medium,1.52
400,18,Other,Low,1.91
401,16,Male,Low,2.2
402,16,Male,Low,1.73
403,18,Female,Medium,3.27
404,20,Female,Medium,0.06
405,18,Male,Medium,4.4
406,16,Male,Medium,1.5
407,16,Female,Medium,4.36
408,23,Male,Medium,2.27
409,17,Male,Medium,3.88
410,18,Female,Low,4.13
411,17,Female,Medium,1.51
412,18,Female,Low,3.2
413,22,Male,Medium,3.04
414,16,Female,Medium,2.38
415,23,Female,Low,2.35
416,17,Female,Low,1.53
417,18,Female,Medium,1.55
418,24,Male,Medium,2.74
419,22,Male,Medium,0.16
420,19,Male,Low,4.67
421,20,Male,Low,3.25
422,17,Female,Medium,2.22
423,23,Female,Medium,0.31
424,19,Female,Low,3.15
425,24,Female,Medium,0.09
426,20,Male,Low,3.4
427,24,Male,Medium,0.36
428,19,Male,Medium,3.28
429,20,Male,Medium,2.03
430,24,Male,High,3.31
431,23,Female,Medium,0.69
432,18,Other,Low,0.59
433,16,Male,High,1.24
434,18,Male,Low,2.06
435,19,Female,Low,1.27
436,17,Male,Medium,0.41
437,16,Female,Medium,1.63
438,22,Female,Low,3.53
439,23,Female,Medium,2.92
440,22,Male,Medium,4.82
441,20,Female,Medium,2.18
442,16,Male,Medium,1.66
443,22,Female,Medium,3.47
444,22,Male,Low,2.06
445,24,Male,Low,3.09
446,18,Female,Low,4.73
447,24,Female,Low,2.5
448,16,Female,Low,2.49
449,16,Female,High,3.88
450,19,Female,High,3.78
451,24,Male,Low,2.58
452,21,Female,Medium,0.32
453,18,Female,Medium,4.9
454,16,Female,High,1.89
455,19,Female,High,1.58
456,24,Male,Medium,4.91
457,18,Female,Medium,4.36
458,24,Male,Medium,1.65
459,22,Male,Low,1.54
460,19,Female,Medium,3.6
461,18,Male,Low,1.67
462,20,Female,Medium,1.26
463,20,Male,Medium,4.9
464,18,Male,Medium,2.83
465,24,Female,Medium,3.81
466,19,Female,Low,3.57
467,20,Female,Low,3.78
468,19,Female,Low,4.52
469,20,Female,Low,2.5
470,22,Male,Medium,3.77
471,24,Male,Medium,3.98
472,22,Male,Medium,4.73
473,20,Female,Medium,3.57
474,22,Female,Medium,4.46
475,20,Male,Medium,0.48
476,18,Female,Medium,0.63
477,22,Female,Medium,0.79
478,17,Male,Medium,0.72
479,24,Male,Low,0.44
480,16,Female,Medium,0.61
481,21,Female,Low,4.98
482,22,Female,Low,1.36
483,23,Male,Medium,2.39
484,24,Other,Medium,4.11
485,17,Male,Medium,0.59
486,17,Male,Low,1.59
487,20,Other,Low,0.8
488,20,Male,Medium,0.31
489,21,Female,Medium,4.8
490,18,Male,Low,4.29
491,23,Female,Medium,4.4
492,16,Female,Low,4.34
493,21,Male,Medium,0.77
494,19,Female,Medium,3.92
495,16,Male,High,3.64
496,22,Female,Low,4.63
497,24,Male,Low,1.1
498,19,Male,Medium,2.07
499,19,Male,Medium,1.47
500,21,Male,Low,1.29
501,18,Female,Medium,3.26
502,21,Male,Medium,0.82
503,22,Male,Low,2.32
504,18,Male,High,3.23
505,22,Male,Medium,0.65
506,18,Female,Low,1.28
507,17,Other,Low,4.84
508,19,Male,High,3.98
509,23,Female,Medium,3.38
510,24,Female,Low,4.28
511,22,Male,Low,0.07
512,16,Female,Low,0.03
513,18,Female,Medium,0.77
514,24,Female,High,2.48
515,16,Female,High,2.85
516,24,Male,High,0.57
517,23,Female,Low,0.36
518,16,Female,Medium,4.14
519,21,Female,Medium,2.32
520,20,Female,Medium,4.96
521,21,Male,Low,1.15
522,20,Other,Low,3.24
523,21,Female,Medium,4.02
524,20,Male,Medium,4.36
525,20,Male,Medium,1.53
526,19,Female,Medium,0.97
527,18,Male,Low,1.13
528,18,Male,Low,3.33
529,19,Male,Medium,2.61
530,24,Male,Medium,2.99
531,17,Male,Low,0.1
532,24,Male,Medium,1.95
533,16,Male,High,1.55
534,16,Female,High,4.32
535,20,Female,Low,3.88
536,21,Male,Low,2.15
537,21,Male,Medium,3.15
538,18,Female,Medium,0.24
539,22,Male,Medium,3.19
540,24,Male,Medium,0.49
541,23,Male,Low,3.57
542,21,Female,Medium,2.87
543,23,Female,Low,1.5
544,20,Female,Medium,1.85
545,23,Female,Medium,0.45
546,19,Female,Low,1.61
547,23,Male,High,4.83
548,17,Female,Medium,2.43
549,20,Male,Medium,2.37
550,24,Female,Medium,3.15
551,19,Female,High,2.42
552,21,Female,Medium,1.78
553,16,Male,Low,0.7
554,24,Male,High,3.15
555,16,Female,Medium,3.74
556,20,Female,Medium,4.62
557,19,Female,Medium,0.02
558,18,Male,Medium,0.33
559,21,Female,Medium,4.5
560,17,Female,Low,3.16
561,18,Female,Medium,4.79
562,20,Female,High,2.15
563,24,Female,Low,2.08
564,17,Female,Low,1.72
565,23,Female,Medium,0.71
566,17,Other,Medium,1.89
567,20,Male,High,0.07
568,22,Male,Medium,2.55
569,23,Female,High,4.24
570,16,Female,High,1.61
571,21,Female,Medium,0.47
572,16,Female,Low,4.87
573,17,Male,Low,0.64
574,16,Female,Low,2.64
575,20,Female,Low,4.05
576,24,Male,Medium,1.26
577,21,Male,Medium,4.21
578,16,Female,Low,2.79
579,16,Male,Medium,1.66
580,17,Female,Low,4.33
581,24,Male,Medium,3.11
582,18,Female,Medium,3.08
583,16,Female,High,2.52
584,20,Female,Medium,1.37
585,22,Male,High,1.52
586,21,Female,Low,0.44
587,16,Male,High,1.22
588,20,Male,Medium,1.39
589,20,Other,High,0.29
590,21,Female,Medium,0.55
591,18,Female,High,1.35
592,20,Male,Medium,3.39
593,22,Male,Medium,0.92
594,20,Male,Medium,2.61
595,20,Female,Medium,2.54
596,20,Female,Medium,4.17
597,18,Female,Medium,3.05
598,16,Female,Medium,4.58
599,20,Male,Medium,3.14
600,24,Male,Low,0.13
601,16,Male,Medium,1.91
602,18,Male,Low,3.5
603,19,Male,High,2.38
604,16,Female,High,2.1
605,16,Male,Medium,3.36
606,23,Female,Low,1.43
607,17,Male,Medium,4.54
608,23,Other,Low,2.07
609,22,Female,Medium,3.16
610,17,Female,Medium,4.91
611,21,Male,Low,3.93
612,21,Female,Medium,2.66
613,18,Female,Low,4.3
614,17,Male,Medium,2.8
615,16,Male,Medium,2.21
616,21,Male,Low,4.37
617,20,Female,Medium,0.14
618,24,Female,Medium,2.04
619,16,Female,Low,1.71
620,22,Male,Low,3.57
621,20,Male,Low,0.06
622,20,Female,Medium,3.3
623,17,Male,Medium,1.73
624,18,Female,Medium,0.49
625,22,Female,Medium,4.9
626,21,Male,Low,1.06
627,17,Female,Medium,1.75
628,21,Male,Medium,1.04
629,17,Female,Medium,3.31
630,17,Male,Low,3.91
631,17,Female,Low,4.3
632,18,Male,Low,1.55
633,17,Male,Medium,2.62
634,19,Female,Low,3.32
635,24,Male,Low,3.15
636,21,Female,High,3.58
637,16,Male,Medium,3.85
638,23,Female,Medium,0.49
639,22,Male,High,0.84
640,18,Female,Low,3.67
641,16,Male,High,2.38
642,20,Male,Medium,2.14
643,19,Male,Low,2.28
644,23,Female,Low,1.86
645,16,Male,Low,2.96
646,16,Female,Medium,1.62
647,19,Female,Medium,3.18
648,23,Male,Medium,1.01
649,20,Female,Medium,3.79
650,17,Male,Medium,3.91
651,21,Male,High,2.89
652,20,Female,Medium,1.85
653,17,Female,Medium,0.07
654,18,Female,High,0.61
655,24,Male,Low,0.4
656,22,Male,Medium,0.05
657,22,Male,Medium,3.61
658,21,Female,Medium,4.78
659,23,Female,Medium,0.06
660,19,Female,Medium,0.56
661,23,Male,Medium,4.3
662,19,Male,Low,3.44
663,23,Male,Low,2.02
664,24,Male,Low,4.96
665,18,Male,High,2.87
666,18,Female,Low,3.35
667,17,Female,Medium,3.27
668,18,Female,Low,1.11
669,18,Male,Medium,2.44
670,20,Male,Low,1.08
671,20,Female,Medium,2.55
672,17,Male,High,0.15
673,21,Female,Low,1.91
674,20,Female,Medium,1.86
675,21,Male,Medium,1.46
676,16,Female,Medium,0.4
677,20,Male,Medium,3.85
678,24,Female,Low,2.1
679,17,Female,Low,4.07
680,16,Male,Medium,4.18
681,24,Male,Medium,1.07
682,24,Female,High,2.11
683,24,Female,Medium,3.6
684,21,Male,Medium,2.5
685,23,Female,Medium,4.28
686,16,Male,Low,2.86
687,19,Male,High,3.15
688,16,Male,Medium,3.94
689,23,Male,Medium,0.61
690,16,Male,Medium,2.92
691,18,Other,Medium,0.43
692,19,Male,Medium,1.3
693,23,Male,Medium,1.06
694,21,Male,Medium,2.84
695,22,Female,Medium,4.22
696,23,Female,Low,0.66
697,17,Male,Low,3.84
698,23,Male,Medium,0.72
699,18,Male,Medium,0.95
700,22,Male,Medium,4.58
701,18,Male,Medium,0.05
702,22,Male,High,0.99
703,17,Male,Medium,1.08
704,21,Female,High,1.41
705,18,Male,Low,1.82
706,18,Female,Low,0.52
707,24,Female,Medium,2.34
708,22,Female,High,2.0
709,20,Male,Medium,3.12
710,22,Male,Low,4.34
711,24,Male,High,1.49
712,16,Female,Medium,2.73
713,22,Male,Medium,1.86
714,21,Female,Medium,0.2
715,24,Female,Medium,4.11
716,16,Male,High,3.17
717,19,Female,Medium,0.01
718,24,Male,Medium,1.25
719,19,Male,Low,1.54
720,18,Male,Medium,4.06
721,24,Male,Medium,3.8
722,17,Female,Medium,1.98
723,19,Male,Low,0.79
724,21,Male,Medium,1.93
725,17,Female,Low,4.05
726,23,Female,Medium,2.26
727,23,Male,Low,0.58
728,16,Female,Low,0.19
729,18,Female,High,1.67
730,24,Male,Low,0.74
731,20,Male,Medium,3.73
732,21,Male,High,1.39
733,19,Female,Medium,4.39
734,17,Female,Medium,3.09
735,23,Female,Low,1.97
736,21,Female,Low,3.05
737,20,Male,High,1.48
738,24,Male,Medium,0.71
739,16,Male,Medium,4.82
740,20,Female,Low,2.82
741,21,Female,Medium,0.04
742,20,Male,Low,1.55
743,21,Female,Medium,0.8
744,21,Male,High,1.29
745,22,Male,Low,0.28
746,19,Male,Medium,1.23
747,23,Male,Medium,3.42
748,22,Male,Medium,4.1
749,24,Male,Medium,1.74
750,22,Male,High,2.61
751,18,Male,Medium,0.21
752,18,Female,Medium,0.45
753,23,Male,High,2.76
754,20,Other,Medium,4.2
755,19,Male,Low,0.44
756,23,Male,Low,2.09
757,21,Male,Low,4.85
758,17,Male,Medium,3.69
759,19,Female,Medium,0.99
760,19,Male,Medium,1.43
761,21,Female,Low,4.74
762,21,Female,Medium,1.1
763,16,Female,High,2.2
764,23,Female,Low,1.78
765,21,Female,Medium,2.45
766,18,Male,High,1.18
767,24,Female,Medium,3.34
768,17,Male,Medium,1.17
769,23,Male,Medium,3.01
770,18,Male,Medium,1.79
771,20,Female,Medium,1.26
772,21,Female,Medium,3.48
773,21,Male,Low,4.83
774,19,Female,Medium,4.35
775,18,Male,Low,0.43
776,19,Male,Medium,2.27
777,16,Male,Medium,3.47
778,19,Male,Low,2.81
779,16,Male,High,3.63
780,16,Female,Medium,4.88
781,21,Female,Low,1.71
782,20,Male,Medium,3.85
783,19,Female,Medium,0.47
784,18,Female,Medium,4.35
785,16,Female,Low,3.89
786,21,Female,Low,2.6
787,17,Male,Medium,4.11
788,23,Female,Medium,3.33
789,20,Female,Medium,2.76
790,22,Male,High,4.73
791,17,Male,Medium,0.65
792,23,Female,Medium,4.96
793,17,Male,Medium,0.77
794,19,Other,Medium,2.4
795,16,Male,Low,1.16
796,20,Female,Medium,1.36
797,24,Male,Medium,3.16
798,16,Female,High,0.17
799,24,Female,Low,4.7
800,23,Male,Low,1.4
801,21,Female,Low,1.36
802,22,Male,Medium,4.32
803,18,Male,Low,3.82
804,16,Male,Medium,3.36
805,20,Female,Medium,0.73
806,17,Male,Medium,3.85
807,20,Male,Low,1.8
808,23,Male,Low,4.97
809,24,Female,High,3.36
810,17,Female,Low,4.18
811,18,Male,Medium,3.67
812,18,Male,Medium,2.97
813,16,Female,Medium,3.58
814,23,Male,Low,2.99
815,21,Female,Medium,0.26
816,23,Female,Low,1.73
817,24,Female,Medium,1.58
818,20,Male,High,3.57
819,18,Female,Medium,2.88
820,20,Female,Medium,3.05
821,20,Female,Low,4.23
822,20,Male,Medium,2.63
823,18,Male,Medium,1.09
824,19,Male,Medium,0.06
825,24,Female,Medium,0.8
826,24,Female,Medium,0.15
827,17,Male,Medium,1.19
828,23,Male,Low,3.17
829,23,Male,High,0.76
830,22,Female,Medium,0.41
831,23,Female,Medium,4.85
832,18,Male,Medium,4.98
833,21,Male,Medium,3.19
834,16,Male,High,0.54
835,22,Female,Medium,4.11
836,16,Female,High,2.7
837,24,Female,Medium,0.91
838,16,Male,Low,2.88
839,16,Female,Low,0.2
840,22,Male,High,4.86
841,17,Female,Medium,4.13
842,20,Male,Medium,1.3
843,23,Female,Medium,2.09
844,23,Female,Low,1.98
845,18,Female,Low,4.31
846,22,Female,Medium,1.77
847,18,Male,Medium,0.24
848,21,Male,Medium,1.07
849,21,Female,Medium,1.08
850,18,Male,Low,4.75
851,22,Male,Medium,4.62
852,18,Male,Medium,1.5
853,23,Female,Low,0.01
854,19,Male,Medium,2.58
855,16,Male,Medium,3.99
856,19,Male,Medium,1.34
857,22,Male,Medium,2.2
858,19,Female,Low,0.86
859,21,Other,Low,1.64
860,24,Female,Medium,3.79
861,16,Male,Low,2.14
862,20,Female,Medium,2.24
863,22,Female,Low,3.95
864,16,Male,High,3.81
865,19,Female,Medium,0.94
866,21,Female,High,2.08
867,17,Female,Medium,4.24
868,20,Female,Medium,2.28
869,16,Male,Low,3.31
870,21,Male,Low,1.53
871,21,Female,Low,0.3
872,19,Male,Low,0.82
873,23,Male,Medium,2.01
874,19,Female,Medium,1.77
875,23,Female,Low,4.48
876,23,Male,Medium,2.73
877,20,Female,Low,3.14
878,19,Female,Medium,3.44
879,17,Female,Medium,2.66
880,18,Male,Medium,3.85
881,18,Male,Low,3.92
882,19,Male,High,1.76
883,19,Male,Low,0.42
884,20,Male,Medium,4.93
885,19,Male,Medium,3.21
886,23,Male,Low,3.54
887,21,Female,Low,3.78
888,21,Male,Low,3.06
889,23,Female,High,2.35
890,22,Female,Medium,4.92
891,23,Male,Medium,3.64
892,17,Female,Medium,4.23
893,24,Female,Low,2.2
894,16,Male,Medium,4.52
895,23,Female,Medium,3.66
896,19,Male,Medium,3.73
897,19,Female,Medium,0.43
898,20,Male,Medium,3.09
899,23,Female,Medium,1.68
900,20,Male,High,3.35
901,23,Female,Medium,2.84
902,16,Male,Low,0.56
903,24,Female,Medium,2.65
904,21,Female,Medium,2.26
905,18,Male,Low,3.88
906,23,Female,Low,2.51
907,24,Male,Low,2.41
908,21,Female,Low,3.6
909,22,Female,Medium,3.34
910,16,Female,Low,4.96
911,20,Female,High,1.76
912,20,Male,Medium,3.44
913,19,Male,Low,0.84
914,21,Male,Medium,4.02
915,22,Female,High,3.93
916,24,Male,Low,3.63
917,16,Female,Medium,0.6
918,21,Female,Low,4.94
919,22,Male,Medium,4.71
920,18,Female,Medium,1.85
921,23,Male,Low,2.89
922,20,Male,Medium,4.44
923,24,Female,Low,2.47
924,20,Male,Medium,3.0
925,24,Male,Medium,3.02
926,19,Female,Low,3.25
927,24,Male,Medium,2.88
928,20,Other,High,2.03
929,24,Other,Medium,2.7
930,18,Male,Low,4.36
931,19,Male,Medium,4.32
932,24,Female,Low,3.86
933,21,Male,Medium,2.07
934,17,Male,Low,3.93
935,22,Female,Low,1.94
936,17,Male,Medium,3.32
937,17,Female,Medium,2.84
938,16,Male,Low,1.5
939,18,Male,Low,2.26
940,21,Male,Medium,4.15
941,23,Other,Medium,4.56
942,24,Female,Low,1.03
943,22,Female,Low,2.28
944,19,Male,High,2.17
945,21,Male,Medium,2.45
946,20,Male,Low,4.88
947,23,Female,Medium,2.59
948,16,Female,Medium,4.15
949,16,Female,High,3.32
950,21,Male,Medium,0.54
951,17,Female,Medium,3.48
952,20,Male,High,3.24
953,16,Other,Medium,3.79
954,22,Male,Low,0.37
955,16,Female,Medium,1.21
956,19,Male,Medium,3.85
957,24,Male,High,1.85
958,16,Female,Medium,4.55
959,19,Male,High,2.59
960,21,Male,Medium,0.01
961,21,Female,Low,3.49
962,23,Female,Low,2.57
963,16,Female,Low,1.59
964,22,Male,Medium,0.1
965,16,Female,Medium,0.99
966,22,Female,Medium,0.81
967,18,Male,High,2.91
968,23,Female,Medium,3.85
